日付時刻,MACアドレス,ユーザーネーム,赤色情報,黄色情報,緑色情報,青色情報,白色情報,ブザー情報,WDT監視情報
2019/12/17 23:17:09,743A65FFFE4A555B,743A65FFFE4A555B,0,0,0,0,0,0,0
2019/12/17 23:10:01,743A65FFFE4A550D,743A65FFFE4A550D,0,0,0,0,0,0,0
2019/12/17 22:47:30,743A65FFFE4A550E,743A65FFFE4A550E,0,0,0,0,0,0,0
2019/12/17 22:38:01,743A65FFFE4A5511,743A65FFFE4A5511,0,0,0,0,0,0,0
2019/12/17 23:21:51,743A65FFFE4A556B,743A65FFFE4A556B,0,0,0,0,0,0,0
2019/12/17 23:08:32,743A65FFFE4A54EA,743A65FFFE4A54EA,0,0,0,0,0,0,0
2019/12/13 20:25:19,743A65FFFE4A5547,743A65FFFE4A5547,0,0,0,0,0,0,0
2019/12/17 23:17:31,743A65FFFE4A5575,743A65FFFE4A5575,0,0,0,0,0,0,0
2019/12/17 23:12:35,743A65FFFE4A54E8,743A65FFFE4A54E8,0,0,0,0,0,0,0
2019/12/17 22:16:31,743A65FFFE4A5577,743A65FFFE4A5577,0,0,0,0,0,0,0
2019/12/17 23:13:08,743A65FFFE4A5512,743A65FFFE4A5512,0,0,0,0,0,0,0
2019/12/17 23:03:18,743A65FFFE4A5572,743A65FFFE4A5572,0,0,0,0,0,0,0
2019/12/17 23:05:59,743A65FFFE4A5510,743A65FFFE4A5510,0,0,0,0,0,0,0
2019/12/17 23:04:00,743A65FFFE4A54E4,743A65FFFE4A54E4,0,0,0,0,0,0,0
2019/12/10 23:20:19,743A65FFFE4A5505,743A65FFFE4A5505,0,0,0,0,0,0,0
2019/12/17 23:22:01,743A65FFFE4A5548,743A65FFFE4A5548,0,0,0,0,0,0,0
2019/12/11 17:01:24,743A65FFFE4A5569,743A65FFFE4A5569,0,0,0,0,0,0,0
2019/12/17 16:57:50,743A65FFFE4A5574,743A65FFFE4A5574,0,0,0,0,0,0,0
2019/12/13 17:57:11,743A65FFFE4A14AA,743A65FFFE4A14AA,0,0,0,0,0,0,0
2019/12/16 18:39:42,743A65FFFE4A54E3,743A65FFFE4A54E3,0,0,0,0,0,0,0
2019/12/16 16:51:57,743A65FFFE4A14AA,743A65FFFE4A14AA,0,0,0,0,0,0,0
2019/12/17 17:04:20,743A65FFFE4A5573,743A65FFFE4A5573,0,0,0,0,0,0,0
2019/12/17 16:54:19,743A65FFFE4A5558,743A65FFFE4A5558,0,0,0,0,0,0,0
2019/12/17 16:56:20,743A65FFFE4A5550,743A65FFFE4A5550,0,0,0,0,0,0,0
2019/12/17 18:46:53,743A65FFFE4A5549,743A65FFFE4A5549,0,0,0,0,0,0,0
